LocationName,Block,Level
chemistry_lab1,science_block,3
chemistry_lab2,science_block,3
chemistry_lab3,science_block,3
chemistry_lab4,science_block,3
chemistry_lab5,science_block,3
chemistry_lab6,science_block,3
physics_lab1,science_block,4
physics_lab2,science_block,4
physics_lab3,science_block,4
physics_lab4,science_block,4
physics_lab5,science_block,4
biology_lab1,science_block,4
biology_lab2,science_block,4
library,main_block,4
general_office,main_block,2
lecture_theatre1,lecture_block,1
lecture_theatre2,lecture_block,1
lecture_theatre3,lecture_block,1
lecture_theatre4,lecture_block,1
